# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 6 -i /data/shared/emapper_jobs/user_data/MM_4ti6xiyi/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_4ti6xiyi -m diamond -d none --tax_scope auto --go_evidence non-electronic --target_orthologs all --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_4ti6xiyi
# time: Thu Jun  4 01:45:42 2020
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
lcl|NZ_JABEOV010000007.1_cds_WP_170172141.1_1	1096930.L284_07000	1.3e-66	258.8	Sphingomonadales	virB11			ko:K02283,ko:K03196	ko03070,ko05120,map03070,map05120	M00333,M00564			ko00000,ko00001,ko00002,ko02035,ko02044	3.A.7			Bacteria	1R82Y@1224,2KE2H@204457,2VGAD@28211,COG0630@1,COG0630@2	NA|NA|NA	NU	Type IV secretion protein VirB11
lcl|NZ_JABEOV010000007.1_cds_WP_017980852.1_2	1096930.L284_06995	0.0	1260.7	Sphingomonadales	virD4			ko:K03205	ko03070,map03070	M00333			ko00000,ko00001,ko00002,ko02044	3.A.7			Bacteria	1MV1G@1224,2K8R5@204457,2TR6N@28211,COG3505@1,COG3505@2	NA|NA|NA	U	TraM recognition site of TraD and TraG
lcl|NZ_JABEOV010000007.1_cds_WP_021233332.1_3	1096930.L284_06990	3.5e-45	187.2	Sphingomonadales				ko:K07746					ko00000,ko02048				Bacteria	1NCK4@1224,2K7ER@204457,2UISW@28211,COG3609@1,COG3609@2	NA|NA|NA	K	addiction module antidote protein, CC2985 family
lcl|NZ_JABEOV010000007.1_cds_WP_021233331.1_4	1096930.L284_06985	1.6e-48	198.4	Sphingomonadales				ko:K19092					ko00000,ko02048				Bacteria	1N7U3@1224,2K817@204457,2UH40@28211,COG3668@1,COG3668@2	NA|NA|NA	S	ParE toxin of type II toxin-antitoxin system, parDE
lcl|NZ_JABEOV010000007.1_cds_WP_017980849.1_5	1090320.KB900605_gene314	2e-103	381.7	Sphingomonadales													Bacteria	1NGGP@1224,2DSF2@1,2K40K@204457,2UMB6@28211,33FWB@2	NA|NA|NA		
lcl|NZ_JABEOV010000007.1_cds_WP_017980848.1_6	1090320.KB900605_gene315	3.4e-149	534.3	Sphingomonadales	lin												Bacteria	1QKHQ@1224,2K3UW@204457,2TUWD@28211,COG1659@1,COG1659@2	NA|NA|NA	S	Encapsulating protein for peroxidase
lcl|NZ_JABEOV010000007.1_cds_WP_026151879.1_7	1096930.L284_06970	3.1e-190	671.0	Sphingomonadales				ko:K07223					ko00000				Bacteria	1MWDD@1224,2K0RZ@204457,2TVIX@28211,COG2837@1,COG2837@2	NA|NA|NA	P	Dyp-type peroxidase family
lcl|NZ_JABEOV010000007.1_cds_WP_017980846.1_8	1090320.KB900605_gene317	0.0	1762.3	Sphingomonadales				ko:K03701	ko03420,map03420				ko00000,ko00001,ko03400				Bacteria	1MX79@1224,2K2K7@204457,2TTXN@28211,COG0178@1,COG0178@2	NA|NA|NA	L	ABC transporter
lcl|NZ_JABEOV010000007.1_cds_WP_170172142.1_9	1090320.KB900605_gene318	0.0	1284.6	Sphingomonadales	uvrB	GO:0002682,GO:0002684,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006950,GO:0008150,GO:0009605,GO:0009607,GO:0016020,GO:0035821,GO:0043207,GO:0044003,GO:0044403,GO:0044419,GO:0044424,GO:0044464,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050896,GO:0051409,GO:0051701,GO:0051704,GO:0051707,GO:0051817,GO:0052031,GO:0052173,GO:0052200,GO:0052255,GO:0052552,GO:0052553,GO:0052555,GO:0052556,GO:0052564,GO:0052572,GO:0065007,GO:0071944,GO:0075136		ko:K03702,ko:K08999	ko03420,map03420				ko00000,ko00001,ko03400				Bacteria	1MUFK@1224,2K9P0@204457,2TQSP@28211,COG0556@1,COG0556@2	NA|NA|NA	L	Ultra-violet resistance protein B
lcl|NZ_JABEOV010000007.1_cds_WP_021233328.1_10	1096930.L284_06955	1.3e-251	875.2	Sphingomonadales													Bacteria	1MVI2@1224,2K3GF@204457,2TSQJ@28211,COG4949@1,COG4949@2	NA|NA|NA	S	Protein of unknown function (DUF3422)
lcl|NZ_JABEOV010000007.1_cds_WP_020486679.1_11	1090320.KB900605_gene320	2e-255	887.9	Sphingomonadales	ndh		1.6.99.3	ko:K03885	ko00190,map00190				ko00000,ko00001,ko01000				Bacteria	1MX96@1224,2K19M@204457,2TQT2@28211,COG1252@1,COG1252@2	NA|NA|NA	C	Pyridine nucleotide-disulphide oxidoreductase
